,file,ratio,stained,total
0,/Start & TP01/A01.txt,0.9985,1997,2000
1,/Start & TP01/A02.txt,0.078,156,2000
2,/Start & TP01/A03.txt,0.62882096069869,288,458
3,/Start & TP01/A04.txt,0.3540856031128405,182,514
4,/Start & TP01/A05.txt,0.994,1988,2000
5,/Start & TP01/A06.txt,0.0105,21,2000
6,/Start & TP01/A07.txt,0.994,1988,2000
7,/Start & TP01/A08.txt,0.0235,47,2000
8,/Start & TP01/A09.txt,0.5560747663551402,119,214
9,/Start & TP01/A10.txt,0.27898550724637683,77,276
10,/Start & TP01/A11.txt,0.9795,1959,2000
11,/Start & TP01/A12.txt,0.0215,43,2000
12,/Start & TP01/B01.txt,0.9045,1809,2000
13,/Start & TP01/B02.txt,0.5715,1143,2000
14,/Start & TP01/B03.txt,0.177,354,2000
15,/Start & TP01/B04.txt,0.923,1846,2000
16,/Start & TP01/B05.txt,0.5985,1197,2000
17,/Start & TP01/B06.txt,0.192,384,2000
18,/Start & TP01/B07.txt,0.83,1660,2000
19,/Start & TP01/B08.txt,0.416,832,2000
20,/Start & TP01/B09.txt,0.113,226,2000
21,/Start & TP01/B10.txt,0.8235,1647,2000
22,/Start & TP01/B11.txt,0.3905,781,2000
23,/Start & TP01/B12.txt,0.0945,189,2000
24,/Start & TP01/C01.txt,0.884,1768,2000
25,/Start & TP01/C02.txt,0.575,1150,2000
26,/Start & TP01/C03.txt,0.1685,337,2000
27,/Start & TP01/C04.txt,0.913,1826,2000
28,/Start & TP01/C05.txt,0.614,1228,2000
29,/Start & TP01/C06.txt,0.1965,393,2000
30,/Start & TP01/C07.txt,0.8395,1679,2000
31,/Start & TP01/C08.txt,0.429,858,2000
32,/Start & TP01/C09.txt,0.1135,227,2000
33,/Start & TP01/C10.txt,0.83,1660,2000
34,/Start & TP01/C11.txt,0.387,774,2000
35,/Start & TP01/C12.txt,0.091,182,2000
36,/Start & TP01/D01.txt,0.8965,1793,2000
37,/Start & TP01/D02.txt,0.607,1214,2000
38,/Start & TP01/D03.txt,0.165,330,2000
39,/Start & TP01/D04.txt,0.92,1840,2000
40,/Start & TP01/D05.txt,0.64,1280,2000
41,/Start & TP01/D06.txt,0.191,382,2000
42,/Start & TP01/D07.txt,0.8515,1703,2000
43,/Start & TP01/D08.txt,0.402,804,2000
44,/Start & TP01/D09.txt,0.1005,201,2000
45,/Start & TP01/D10.txt,0.8195,1639,2000
46,/Start & TP01/D11.txt,0.394,788,2000
47,/Start & TP01/D12.txt,0.094,188,2000
48,/Start & TP01/E01.txt,0.209,418,2000
