well	row	ratio	stained	total	time.point	sample	stained_isolate	predator	starting_freq_I7	freq_I7	freq_I6	rel_fitness	freq_I7_previous	replicate
11	E	0.721	1442	2000	5	5	6	NO	0.5	0.279	0.721	-0.1815979504141355	0.35750000000000004	E5
6	E	0.9375	1875	2000	0	6	6	NO	0.1	0.0625	0.9375	0	0.0625	E6
12	E	0.9505	1901	2000	1	6	6	NO	0.1	0.04949999999999999	0.9505	-0.12348264562581471	0.0625	E6
6	E	0.936	1872	2000	2	6	6	NO	0.1	0.06399999999999995	0.936	0.1361415496179592	0.04949999999999999	E6
12	E	0.949	1898	2000	3	6	6	NO	0.1	0.051000000000000045	0.949	-0.1204253863838401	0.06399999999999995	E6
6	E	0.9255	1851	2000	4	6	6	NO	0.1	0.07450000000000001	0.9255	0.2020240796287814	0.051000000000000045	E6
12	E	0.9435	1887	2000	5	6	6	NO	0.1	0.056499999999999995	0.9435	-0.14791036001408575	0.07450000000000001	E6
1	F	0.1965	393	2000	0	1	6	YES	0.9	0.8035	0.1965	0	0.8035	F1
7	F	0.232	464	2000	1	1	6	YES	0.9	0.768	0.23199999999999998	-0.10563119619344452	0.8035	F1
1	F	0.2395	479	2000	2	1	6	YES	0.9	0.7605	0.23950000000000005	-0.02081483331649247	0.768	F1
7	F	0.2875	575	2000	3	1	6	YES	0.9	0.7125	0.2875	-0.1239328214714884	0.7605	F1
1	F	0.182	364	2000	4	1	6	YES	0.9	0.8180000000000001	0.18199999999999994	0.29764929881027574	0.7125	F1
7	F	0.319	638	2000	5	1	6	YES	0.9	0.681	0.31899999999999995	-0.37224222308064203	0.8180000000000001	F1
2	F	0.681	1362	2000	0	2	6	YES	0.5	0.31899999999999995	0.681	0	0.31899999999999995	F2
8	F	0.739	1478	2000	1	2	6	YES	0.5	0.261	0.739	-0.1412031551304202	0.31899999999999995	F2
2	F	0.6735	1347	2000	2	2	6	YES	0.5	0.3265	0.6735	0.15835973324578773	0.261	F2
8	F	0.7665	1533	2000	3	2	6	YES	0.5	0.23350000000000004	0.7665	-0.23229728703449185	0.3265	F2
2	F	0.7515	1503	2000	4	2	6	YES	0.5	0.24850000000000005	0.7515	0.04101212877328554	0.23350000000000004	F2
8	F	0.7245	1449	2000	5	2	6	YES	0.5	0.27549999999999997	0.7245	0.06986711524428867	0.24850000000000005	F2
3	F	0.9535	1907	2000	0	3	6	YES	0.1	0.046499999999999986	0.9535	0	0.046499999999999986	F3
9	F	0.9545	1909	2000	1	3	6	YES	0.1	0.045499999999999985	0.9545	-0.011394102380867221	0.046499999999999986	F3
3	F	0.947	1894	2000	2	3	6	YES	0.1	0.05300000000000005	0.947	0.08023406878747119	0.045499999999999985	F3
9	F	0.9275	1855	2000	3	3	6	YES	0.1	0.07250000000000001	0.9275	0.1670504735064972	0.05300000000000005	F3
3	F	0.956	1912	2000	4	3	6	YES	0.1	0.04400000000000004	0.956	-0.26483102325608915	0.07250000000000001	F3
9	F	0.9445	1889	2000	5	3	6	YES	0.1	0.055499999999999994	0.9445	0.12214780647198185	0.04400000000000004	F3
4	F	0.1875	375	2000	0	4	6	NO	0.9	0.8125	0.1875	0	0.8125	F4
10	F	0.247	494	2000	1	4	6	NO	0.9	0.753	0.247	-0.1758300888107553	0.8125	F4
4	F	0.166	332	2000	2	4	6	NO	0.9	0.834	0.16600000000000004	0.24978436141514343	0.753	F4
10	F	0.22	440	2000	3	4	6	NO	0.9	0.78	0.21999999999999997	-0.17428962033546364	0.834	F4
4	F	0.1905	381	2000	4	4	6	NO	0.9	0.8095	0.1905	0.09054910260982899	0.78	F4
10	F	0.1895	379	2000	5	4	6	NO	0.9	0.8105	0.1895	0.0032488690511578173	0.8095	F4
5	F	0.6695	1339	2000	0	5	6	NO	0.5	0.3305	0.6695	0	0.3305	F5
11	F	0.709	1418	2000	1	5	6	NO	0.5	0.29100000000000004	0.709	-0.09230387676057435	0.3305	F5
5	F	0.619	1238	2000	2	5	6	NO	0.5	0.381	0.619	0.2026131809013698	0.29100000000000004	F5
11	F	0.6715	1343	2000	3	5	6	NO	0.5	0.3285	0.6715	-0.11483564024036597	0.381	F5
5	F	0.6235	1247	2000	4	5	6	NO	0.5	0.37649999999999995	0.6235	0.10527323007924191	0.3285	F5
11	F	0.713	1426	2000	5	5	6	NO	0.5	0.28700000000000003	0.713	-0.20278424338726583	0.37649999999999995	F5
6	F	0.945	1890	2000	0	6	6	NO	0.1	0.05500000000000005	0.945	0	0.05500000000000005	F6
