replicate	starting_freq_I7	stained_isolate	predator 	time point	dilution	count_I7	count_I6	total	freq_I7	freq_I6					
G3	0.1	6	yes	2	6	5	75	80	0.063	0.938					
E4	0.9	6	no	2	7	150	19	169	0.888	0.112					
F4	0.9	6	no	2	7	178	28	206	0.864	0.136					
G4	0.9	6	no	2	6	60	27	87	0.690	0.310					
E5	0.5	6	no	2	7	86	109	195	0.441	0.559					
F5	0.5	6	no	2	7	150	150	300	0.500	0.500					
G5	0.5	6	no	2	6	27	148	175	0.154	0.846					
E6	0.1	6	no	2	6	11	349	360	0.031	0.969					
F6	0.1	6	no	2	7	12	204	216	0.056	0.944					
G6	0.1	6	no	2	7	8	77	85	0.094	0.906					
B1	0.9	7	yes	3	6	77	33	110	0.700	0.300					
C1	0.9	7	yes	3	7	101	20	121	0.835	0.165					
D1	0.9	7	yes	3	6	100	0	100	1.000	0.000					
B2	0.5	7	yes	3	7	37	66	103	0.359	0.641					
C2	0.5	7	yes	3	6	57	168	225	0.253	0.747					
D2	0.5	7	yes	3	6	16	0	41	0.902	0.098					
B3	0.1	7	yes	3	7	9	99	108	0.083	0.917					
C3	0.1	7	yes	3	6	8	226	234	0.034	0.966					
D3	0.1	7	yes	3	7	1	0	28	0.607	0.393					
B4	0.9	7	no	3	6	129	32	161	0.801	0.199					
C4	0.9	7	no	3	6	112	55	167	0.671	0.329					
D4	0.9	7	no	3	6	64	0	64	1.000	0.000					
B5	0.5	7	no	3	6	55	159	214	0.257	0.743					
C5	0.5	7	no	3	7	201	183	384	0.523	0.477					
D5	0.5	7	no	3	6	33	2	35	0.943	0.057					
B6	0.1	7	no	3	7	31	243	274	0.113	0.887					
C6	0.1	7	no	3	8	25	207	232	0.108	0.892					
D6	0.1	7	no	3	6	0	0	0	NA	NA					
E1	0.9	6	yes	3	6	103	40	143	0.720	0.280					
F1	0.9	6	yes	3	6	53	28	81	0.654	0.346					
G1	0.9	6	yes	3	6	129	5	134	0.963	0.037					
E2	0.5	6	yes	3	6	29	187	216	0.134	0.866					
F2	0.5	6	yes	3	6	19	164	183	0.104	0.896					
G2	0.5	6	yes	3	6	37	4	41	0.902	0.098					
E3	0.1	6	yes	3	7	6	111	117	0.051	0.949					
F3	0.1	6	yes	3	6	2	157	159	0.013	0.987					
G3	0.1	6	yes	3	7	17	11	28	0.607	0.393					
E4	0.9	6	no	3	6	73	23	96	0.760	0.240					
F4	0.9	6	no	3	6	35	19	54	0.648	0.352					
G4	0.9	6	no	3	6	67	8	75	0.893	0.107					
E5	0.5	6	no	3	6	65	207	272	0.239	0.761					
F5	0.5	6	no	3	6	15	130	145	0.103	0.897					
G5	0.5	6	no	3	6	47	6	53	0.887	0.113					
E6	0.1	6	no	3	6	10	144	154	0.065	0.935					
F6	0.1	6	no	3	6	7	237	244	0.029	0.971					
G6	0.1	6	no	3	6	7	1	8	0.875	0.125					
B1	0.9	7	yes	4	6	166	37	203	0.818	0.182					
C1	0.9	7	yes	4	6	64	33	97	0.660	0.340					
D1	0.9	7	yes	4	6	43	10	53	0.811	0.189					
B2	0.5	7	yes	4	7	39	59	98	0.398	0.602					
C2	0.5	7	yes	4	7	36	109	145	0.248	0.752					
D2	0.5	7	yes	4	6	37	9	46	0.804	0.196					
B3	0.1	7	yes	4	6	2	180	182	0.011	0.989					
C3	0.1	7	yes	4	8	16	209	225	0.071	0.929					
D3	0.1	7	yes	4	6	0	8	8	0.000	1.000					
B4	0.9	7	no	4	6	137	48	185	0.741	0.259					
