starting_freq_I7	stained_isolate	predator	time.point	dilution	count_I7	count_I6	total	freq_I7	freq_I6	cell_concentration	replicate	density_I6	density_I7	rel_fitness	freq_I7_previous
0.1	6	yes	1	7	3	120	123	0.024	0.976	192187500	F3	187575000	4612500	-0.35902236609083626	0.048
0.1	6	yes	2	7	20	198	218	0.092	0.908	340625000	F3	309287500	31337500	0.707976477256447	0.024
0.1	6	yes	3	6	2	157	159	0.013	0.987	49687500	F3	49041562.5	645937.5	-1.020132440209846	0.092
0.1	6	yes	4	8	19	90	109	0.174	0.826	851562500	F3	703390625	148171875	1.3860906038327478	0.013
0.1	6	yes	5	11	1	207	208	0.005	0.995	203125000000	F3	202109375000	1015625000	-1.8678826752090218	0.174
0.9	6	no	0	6	325	53	378	0.86	0.14	72692307.692	F4	10176923.07688	62515384.61512	0	0.86
0.9	6	no	1	7	183	98	281	0.651	0.349	439062500	F4	153232812.5	285829687.5	-0.5959261233160537	0.86
0.9	6	no	2	7	178	28	206	0.864	0.136	321875000	F4	43775000	278100000	0.6127400815309307	0.651
0.9	6	no	3	6	35	19	54	0.648	0.352	16875000	F4	5940000	10935000	-0.619329181156913	0.864
0.9	6	no	4	6	151	50	201	0.751	0.249	62812500	F4	15640312.5	47172187.5	0.2468466172726248	0.648
0.9	6	no	5	7	51	14	65	0.785	0.215	101562500	F4	21835937.5	79726562.5	0.09554646717765927	0.751
0.5	6	no	0	6	190	278	468	0.406	0.594	90000000	F5	53460000	36540000	0	0.406
0.5	6	no	1	7	59	154	213	0.277	0.723	332812500	F5	240623437.5	92189062.50000001	-0.28943277810525686	0.406
0.5	6	no	2	7	150	150	300	0.5	0.5	468750000	F5	234375000	234375000	0.479695857985713	0.277
0.5	6	no	3	6	15	130	145	0.103	0.897	45312500	F5	40645312.5	4667187.5	-1.08216343691458	0.5
0.5	6	no	4	8	54	90	144	0.375	0.625	1125000000	F5	703125000	421875000	0.826750625031585	0.103
0.5	6	no	5	7	63	140	203	0.31	0.69	317187500	F5	218859374.99999997	98328125	-0.14464683817306112	0.375
0.1	6	no	0	6	21	417	438	0.048	0.952	84230769.231	F6	80187692.307912	4043076.923088	0	0.048
0.1	6	no	1	7	12	179	191	0.063	0.937	298437500	F6	279635937.5	18801562.5	0.1439077340182925	0.048
0.1	6	no	2	7	12	204	216	0.056	0.944	337500000	F6	318600000	18900000	-0.06261295978173095	0.063
0.1	6	no	3	6	7	237	244	0.029	0.971	76250000	F6	74038750	2211250	-0.3431280814472497	0.056
0.1	6	no	4	7	7	137	144	0.049	0.951	225000000	F6	213975000	11025000	0.2726684369350436	0.029
0.1	6	no	5	7	13	223	236	0.055	0.945	368750000	F6	348468750	20281250	0.06092101108674594	0.049
0.9	6	yes	0	6	325	53	378	0.86	0.14	72692307.692	G1	10176923.07688	62515384.61512	0	0.86
0.9	6	yes	1	6	71	0	71	1	0	22187500	G1	0	22187500	Inf	0.86
