well	row	ratio	stained	total	time.point	sample	stained_isolate	predator	starting_freq_I7	freq_I7	freq_I6	rel_fitness	freq_I7_previous	replicate
3	B	0.182	364	2000	0	3	7	YES	0.1	0.182	0.8180000000000001	0	0.182	B3
9	B	0.116	232	2000	1	3	7	YES	0.1	0.116	0.884	-0.2640056110026635	0.182	B3
3	B	0.071	142	2000	2	3	7	YES	0.1	0.071	0.929	-0.2702809951206222	0.116	B3
9	B	0.054	108	2000	3	3	7	YES	0.1	0.054	0.946	-0.1459148303575403	0.071	B3
3	B	0.052	104	2000	4	3	7	YES	0.1	0.052	0.948	-0.01992613059299532	0.054	B3
9	B	0.066	132	2000	5	3	7	YES	0.1	0.066	0.9339999999999999	0.12664454373558878	0.052	B3
4	B	0.934	1868	2000	0	4	7	NO	0.9	0.934	0.06599999999999995	0	0.934	B4
10	B	0.8335	1667	2000	1	4	7	NO	0.9	0.8335	0.16649999999999998	-0.5195916517160337	0.934	B4
4	B	0.8595	1719	2000	2	4	7	NO	0.9	0.8595	0.14049999999999996	0.10025247163937673	0.8335	B4
10	B	0.7485	1497	2000	3	4	7	NO	0.9	0.7485	0.25149999999999995	-0.3602575608646072	0.8595	B4
4	B	0.825	1650	2000	4	4	7	NO	0.9	0.825	0.17500000000000004	0.22998459904563856	0.7485	B4
10	B	0.7575	1515	2000	5	4	7	NO	0.9	0.7575	0.24250000000000005	-0.2057877927025903	0.825	B4
5	B	0.611	1222	2000	0	5	7	NO	0.5	0.611	0.389	0	0.611	B5
11	B	0.4025	805	2000	1	5	7	NO	0.5	0.4025	0.5974999999999999	-0.42328840125009826	0.611	B5
5	B	0.3425	685	2000	2	5	7	NO	0.5	0.3425	0.6575	-0.12855695970129596	0.4025	B5
11	B	0.305	610	2000	3	5	7	NO	0.5	0.305	0.6950000000000001	-0.08571348130387056	0.3425	B5
5	B	0.3555	711	2000	4	5	7	NO	0.5	0.3555	0.6445000000000001	0.11432524791071694	0.305	B5
11	B	0.308	616	2000	5	5	7	NO	0.5	0.308	0.692	-0.10726829975407419	0.3555	B5
6	B	0.2	400	2000	0	6	7	NO	0.1	0.2	0.8	0	0.2	B6
12	B	0.1	200	2000	1	6	7	NO	0.1	0.1	0.9	-0.4054651081081644	0.2	B6
6	B	0.0635	127	2000	2	6	7	NO	0.1	0.0635	0.9365	-0.24694251932463887	0.1	B6
12	B	0.055	110	2000	3	6	7	NO	0.1	0.055	0.945	-0.07637106313788729	0.0635	B6
6	B	0.068	136	2000	4	6	7	NO	0.1	0.068	0.9319999999999999	0.11301331637589374	0.055	B6
12	B	0.066	132	2000	5	6	7	NO	0.1	0.066	0.9339999999999999	-0.015998293346466266	0.068	B6
1	C	0.9035	1807	2000	0	1	7	YES	0.9	0.9035	0.09650000000000003	0	0.9035	C1
7	C	0.8545	1709	2000	1	1	7	YES	0.9	0.8545	0.14549999999999996	-0.23319634287162197	0.9035	C1
1	C	0.5295	1059	2000	2	1	7	YES	0.9	0.5295	0.47050000000000003	-0.826101604964036	0.8545	C1
7	C	0.7625	1525	2000	3	1	7	YES	0.9	0.7625	0.23750000000000004	0.5241488394954219	0.5295	C1
1	C	0.559	1118	2000	4	1	7	YES	0.9	0.559	0.44099999999999995	-0.46466514364930855	0.7625	C1
7	C	0.428	856	2000	5	1	7	YES	0.9	0.428	0.5720000000000001	-0.26356019675312736	0.559	C1
2	C	0.5985	1197	2000	0	2	7	YES	0.5	0.5985	0.40149999999999997	0	0.5985	C2
8	C	0.45	900	2000	1	2	7	YES	0.5	0.45	0.55	-0.2999448435366814	0.5985	C2
2	C	0.3845	769	2000	2	2	7	YES	0.5	0.3845	0.6154999999999999	-0.1349102306083291	0.45	C2
8	C	0.307	614	2000	3	2	7	YES	0.5	0.307	0.6930000000000001	-0.1718455474619484	0.3845	C2
2	C	0.3415	683	2000	4	2	7	YES	0.5	0.3415	0.6585	0.07878270471510765	0.307	C2
8	C	0.3135	627	2000	5	2	7	YES	0.5	0.3135	0.6865	-0.06359501148127976	0.3415	C2
3	C	0.1765	353	2000	0	3	7	YES	0.1	0.1765	0.8235	0	0.1765	C3
9	C	0.119	238	2000	1	3	7	YES	0.1	0.119	0.881	-0.23084572979015325	0.1765	C3
3	C	0.085	170	2000	2	3	7	YES	0.1	0.085	0.915	-0.1871693379802773	0.119	C3
9	C	0.064	128	2000	3	3	7	YES	0.1	0.064	0.9359999999999999	-0.15322979216635765	0.085	C3
3	C	0.062	124	2000	4	3	7	YES	0.1	0.062	0.938	-0.01694158542160646	0.064	C3
9	C	0.0645	129	2000	5	3	7	YES	0.1	0.0645	0.9355	0.021099821024357784	0.062	C3
4	C	0.9195	1839	2000	0	4	7	NO	0.9	0.9195	0.08050000000000002	0	0.9195	C4
10	C	0.8375	1675	2000	1	4	7	NO	0.9	0.8375	0.16249999999999998	-0.3979147988452142	0.9195	C4
4	C	0.829	1658	2000	2	4	7	NO	0.9	0.829	0.17100000000000004	-0.03059333164839727	0.8375	C4
10	C	0.7865	1573	2000	3	4	7	NO	0.9	0.7865	0.21350000000000002	-0.1373003544014908	0.829	C4
4	C	0.8125	1625	2000	4	4	7	NO	0.9	0.8125	0.1875	0.08119058948188702	0.7865	C4
10	C	0.765	1530	2000	5	4	7	NO	0.9	0.765	0.235	-0.14302337455552502	0.8125	C4
5	C	0.6235	1247	2000	0	5	7	NO	0.5	0.6235	0.37649999999999995	0	0.6235	C5
11	C	0.405	810	2000	1	5	7	NO	0.5	0.405	0.595	-0.4445525281596168	0.6235	C5
5	C	0.419	838	2000	2	5	7	NO	0.5	0.419	0.581	0.028897250754658564	0.405	C5
11	C	0.3265	653	2000	3	5	7	NO	0.5	0.3265	0.6735	-0.19858910510207972	0.419	C5
5	C	0.378	756	2000	4	5	7	NO	0.5	0.378	0.622	0.1130060750071706	0.3265	C5
11	C	0.2835	567	2000	5	5	7	NO	0.5	0.2835	0.7165	-0.21456011349041407	0.378	C5
6	C	0.2015	403	2000	0	6	7	NO	0.1	0.2015	0.7985	0	0.2015	C6
12	C	0.095	190	2000	1	6	7	NO	0.1	0.095	0.905	-0.438556232915528	0.2015	C6
6	C	0.09	180	2000	2	6	7	NO	0.1	0.09	0.91	-0.029788438540622762	0.095	C6
12	C	0.04	80	2000	3	6	7	NO	0.1	0.04	0.96	-0.43220945058365745	0.09	C6
6	C	0.06	120	2000	4	6	7	NO	0.1	0.06	0.94	0.21325925865299838	0.04	C6
12	C	0.0665	133	2000	5	6	7	NO	0.1	0.0665	0.9335	0.05489814886099003	0.06	C6
1	D	0.9165	1833	2000	0	1	7	YES	0.9	0.9165	0.08350000000000002	0	0.9165	D1
7	D	0.8775	1755	2000	1	1	7	YES	0.9	0.8775	0.12250000000000005	-0.2133747550338555	0.9165	D1
1	D	0.7955	1591	2000	2	1	7	YES	0.9	0.7955	0.20450000000000002	-0.30528152653012686	0.8775	D1
7	D	0.7535	1507	2000	3	1	7	YES	0.9	0.7535	0.24650000000000005	-0.1205179238555899	0.7955	D1
1	D	0.406	812	2000	4	1	7	YES	0.9	0.406	0.594	-0.7489465921723586	0.7535	D1
7	D	0.767	1534	2000	5	1	7	YES	0.9	0.767	0.23299999999999998	0.7859872537812339	0.406	D1
2	D	0.621	1242	2000	0	2	7	YES	0.5	0.621	0.379	0	0.621	D2
8	D	0.42	840	2000	1	2	7	YES	0.5	0.42	0.5800000000000001	-0.4082841345570518	0.621	D2
2	D	0.426	852	2000	2	2	7	YES	0.5	0.426	0.5740000000000001	0.012291671106427503	0.42	D2
8	D	0.31	620	2000	3	2	7	YES	0.5	0.31	0.69	-0.2509646250309584	0.426	D2
2	D	0.3475	695	2000	4	2	7	YES	0.5	0.3475	0.6525000000000001	0.0850364129600556	0.31	D2
8	D	0.3185	637	2000	5	2	7	YES	0.5	0.3185	0.6815	-0.06531365096618366	0.3475	D2
3	D	0.1695	339	2000	0	3	7	YES	0.1	0.1695	0.8305	0	0.1695	D3
9	D	0.1055	211	2000	1	3	7	YES	0.1	0.1055	0.8945	-0.27418947389990406	0.1695	D3
3	D	0.0935	187	2000	2	3	7	YES	0.1	0.0935	0.9065	-0.06703782193380584	0.1055	D3
9	D	0.062	124	2000	3	3	7	YES	0.1	0.062	0.938	-0.22249298503043433	0.0935	D3
3	D	0.0635	127	2000	4	3	7	YES	0.1	0.0635	0.9365	0.012752973987817879	0.062	D3
9	D	0.072	144	2000	5	3	7	YES	0.1	0.072	0.928	0.06737200110767594	0.0635	D3
4	D	0.9255	1851	2000	0	4	7	NO	0.9	0.9255	0.07450000000000001	0	0.9255	D4
10	D	0.8275	1655	2000	1	4	7	NO	0.9	0.8275	0.1725	-0.4757615679241172	0.9255	D4
4	D	0.853	1706	2000	2	4	7	NO	0.9	0.853	0.14700000000000002	0.09515754496656956	0.8275	D4
10	D	0.767	1534	2000	3	4	7	NO	0.9	0.767	0.23299999999999998	-0.2834393064556935	0.853	D4
4	D	0.848	1696	2000	4	4	7	NO	0.9	0.848	0.15200000000000002	0.26377588357203535	0.767	D4
10	D	0.7095	1419	2000	5	4	7	NO	0.9	0.7095	0.2905	-0.4130215973187475	0.848	D4
5	D	0.6485	1297	2000	0	5	7	NO	0.5	0.6485	0.35150000000000003	0	0.6485	D5
11	D	0.4075	815	2000	1	5	7	NO	0.5	0.4075	0.5925	-0.4933811164170739	0.6485	D5
5	D	0.3825	765	2000	2	5	7	NO	0.5	0.3825	0.6174999999999999	-0.052320237453586334	0.4075	D5
11	D	0.314	628	2000	3	5	7	NO	0.5	0.314	0.6859999999999999	-0.15126711329104509	0.3825	D5
5	D	0.38	760	2000	4	5	7	NO	0.5	0.38	0.62	0.14596820824946297	0.314	D5
11	D	0.302	604	2000	5	5	7	NO	0.5	0.302	0.698	-0.17412193003439855	0.38	D5
6	D	0.1975	395	2000	0	6	7	NO	0.1	0.1975	0.8025	0	0.1975	D6
12	D	0.0985	197	2000	1	6	7	NO	0.1	0.0985	0.9015	-0.40600511190116717	0.1975	D6
6	D	0.075	150	2000	2	6	7	NO	0.1	0.075	0.925	-0.149151064755393	0.0985	D6
12	D	0.064	128	2000	3	6	7	NO	0.1	0.064	0.9359999999999999	-0.08521338457090262	0.075	D6
6	D	0.0705	141	2000	4	6	7	NO	0.1	0.0705	0.9295	0.05184914788732211	0.064	D6
12	D	0.0635	127	2000	5	6	7	NO	0.1	0.0635	0.9365	-0.05603775932111072	0.0705	D6
1	E	0.2335	467	2000	0	1	6	YES	0.9	0.7665	0.23350000000000004	0	0.7665	E1
7	E	0.246	492	2000	1	1	6	YES	0.9	0.754	0.246	-0.03429589456366162	0.7665	E1
1	E	0.219	438	2000	2	1	6	YES	0.9	0.781	0.21899999999999997	0.07572129397379596	0.754	E1
7	E	0.303	606	2000	3	1	6	YES	0.9	0.6970000000000001	0.30299999999999994	-0.21922540738601515	0.781	E1
1	E	0.324	648	2000	4	1	6	YES	0.9	0.6759999999999999	0.32400000000000007	-0.04880152250026032	0.6970000000000001	E1
7	E	0.4555	911	2000	5	1	6	YES	0.9	0.5445	0.4555	-0.27848866728881616	0.6759999999999999	E1
2	E	0.6955	1391	2000	0	2	6	YES	0.5	0.3045	0.6955	0	0.3045	E2
8	E	0.756	1512	2000	1	2	6	YES	0.5	0.244	0.756	-0.1524566133363926	0.3045	E2
2	E	0.6705	1341	2000	2	2	6	YES	0.5	0.3295	0.6705	0.21021290105357998	0.244	E2
8	E	0.768	1536	2000	3	2	6	YES	0.5	0.23199999999999998	0.768	-0.24330250635109552	0.3295	E2
2	E	0.7605	1521	2000	4	2	6	YES	0.5	0.23950000000000005	0.7605	0.02081483331649247	0.23199999999999998	E2
8	E	0.8005	1601	2000	5	2	6	YES	0.5	0.1995	0.8005	-0.11699980062923693	0.23950000000000005	E2
3	E	0.9505	1901	2000	0	3	6	YES	0.1	0.04949999999999999	0.9505	0	0.04949999999999999	E3
9	E	0.959	1918	2000	1	3	6	YES	0.1	0.041000000000000036	0.959	-0.098651757912645	0.04949999999999999	E3
3	E	0.947	1894	2000	2	3	6	YES	0.1	0.05300000000000005	0.947	0.13465591427258702	0.041000000000000036	E3
9	E	0.973	1946	2000	3	3	6	YES	0.1	0.027000000000000024	0.973	-0.3507700182738598	0.05300000000000005	E3
