
Competition_Ch11_320_379_th_TP3-5_2nd_run

File	freq_unstained	freq_stained	IntensityCh11
A01.daf	0,0000	99,9500	22021,2909
A02.daf	98,5500	1,4500	685,5380
A03.daf	52,5424	44,0678	62854,3919
A05.daf	0,1000	99,9000	21355,5789
A06.daf	98,6500	1,3500	263,1021
A07.daf	34,2529	65,0575	21371,9233
A09.daf	0,3500	99,6000	21016,4103
A10.daf	99,3000	0,7000	213,2526
A11.daf	45,5090	51,4970	46181,6886
B01.daf	3,3000	96,7000	19817,3325
B02.daf	34,2500	65,6500	13718,6166
B03.daf	87,4000	12,6000	2019,2378
B04.daf	0,0000	100,0000	21385,2837
B05.daf	4,5000	95,5000	15497,4105
B06.daf	31,5500	68,4500	6732,9651
B07.daf	82,5000	17,5000	1899,0098
B08.daf	0,2500	99,7500	13720,1876
B09.daf	5,2500	94,7500	11498,4536
B10.daf	31,5000	68,5000	6525,2337
B11.daf	78,2500	21,7500	1403,5161
B12.daf	0,1500	99,8500	11523,9285
C01.daf	5,0500	94,9500	17219,3700
C02.daf	33,9000	66,1000	9030,4578
C03.daf	87,1500	12,8000	2834,8141
C04.daf	99,9000	0,1000	-16,1439
C05.daf	3,3000	96,7000	14524,8833
C06.daf	28,6500	71,3000	7613,6686
C07.daf	80,8500	19,1500	2112,9708
C08.daf	99,9500	0,0500	-9,1825
C09.daf	3,9000	96,1000	9394,6047
C10.daf	24,5000	75,5000	6036,8906
C11.daf	79,7500	20,2000	2521,9202
C12.daf	99,8500	0,1500	-5,8756
D01.daf	4,1000	95,9000	15808,9055
D02.daf	31,9500	68,0500	12356,3037
D03.daf	89,8000	10,2000	2008,9735
D06.daf	13,7862	85,8142	8664,6781
D07.daf	50,0000	33,3333	147917,7073
D09.daf	19,2000	80,8000	6034,9664
D10.daf	6,8000	93,2000	5371,4584
D11.daf	29,1000	70,7500	5484,6327
E01.daf	67,6500	32,3500	6055,5023
E02.daf	16,2500	83,7500	18646,6711
E03.daf	1,1500	98,8000	22171,2513
E05.daf	69,3500	30,6500	5552,9383
E06.daf	20,8500	79,1000	16192,4448
E07.daf	1,6000	98,4000	17616,7909
E09.daf	70,4500	29,5500	4673,4769
E10.daf	25,4000	74,6000	15362,4094
E11.daf	2,4000	97,6000	19911,3342
F01.daf	74,3000	25,7000	5152,7417
F02.daf	19,1500	80,8500	20028,8801
F03.daf	0,8000	99,2000	24680,4542
F04.daf	0,2500	99,7000	23586,7224
F05.daf	74,3000	25,7000	4698,8380
F06.daf	24,9500	75,0000	18776,7735
F07.daf	1,9000	98,1000	21484,3346
F08.daf	0,3500	99,6500	19959,8920
F09.daf	73,9000	26,1000	3855,9257
F10.daf	23,2500	76,7500	16430,9916
F11.daf	2,5500	97,4000	22112,0590
F12.daf	0,8000	99,2000	20600,3652
G01.daf	76,5500	23,4500	4556,1839
G02.daf	20,3000	79,6500	19739,1001
G03.daf	1,8000	98,2000	25675,2802
G04.daf	99,0500	0,9000	105,5741
G05.daf	76,5500	23,4500	5052,4860
G06.daf	26,1000	73,9000	17747,1042
G07.daf	2,4500	97,5500	22016,3855
G08.daf	98,6500	1,3000	845,7744
G09.daf	75,1500	24,8500	4765,4868
G10.daf	29,2500	70,7000	18637,8783
G11.daf	2,7000	97,3000	20802,1132
G12.daf	97,1500	2,8500	590,5578
H01.daf	0,1500	99,8000	15530,8254
H02.daf	99,1500	0,8500	49,3786
H03.daf	59,1346	38,4615	57157,0050
H05.daf	0,1500	99,8500	11774,5572
H06.daf	99,4000	0,5500	16,9373
H07.daf	61,0000	33,5000	65948,7817
H09.daf	0,0500	99,9000	10431,8564
H10.daf	99,4000	0,5500	708,5580



This file was created at: 13.02.2024 16:10:20
